id,estado,faixa_etaria,genero,classe_economica,usa_internet,horas_por_dia,recebeu_mensagem_estranha,clicou_link_suspeito,compartilhou_dados_pessoais,recebeu_cyberbullying,viu_conteudo_inapropriado,recebeu_golpe,usa_senha_forte,verifica_privacidade,fala_com_responsavel,tem_antivirus,sabe_reconhecer_golpe,usa_youtube,usa_tiktok,usa_instagram,usa_whatsapp,usa_discord,usa_twitch,usa_facebook,usa_telegram,usa_snapchat,tipo_golpe_sofreu,interesse_seguranca,score_conhecimento,risco_total,perfil_risco
1,MG,15-16 anos,Masculino,C,1,6.061603167345459,0,0,0,0,1,1,0,0,0,1,1,1,1,1,1,1,1,0,0,0,Roubo de conta,Baixo,41.371460075302195,1,MÉDIO
2,SC,15-16 anos,Masculino,D/E,1,2.8536194518659013,1,0,0,1,0,1,0,0,0,0,1,0,1,1,0,1,0,0,0,0,Fake giveaway,Alto,28.909435412315602,3,CRÍTICO
3,CE,13-14 anos,Feminino,B1,1,5.231193477359816,1,1,1,1,1,0,0,1,1,0,1,0,0,1,1,1,0,0,0,0,Nenhum,Alto,52.11037774635739,4,MÉDIO
4,PR,15-16 anos,Masculino,B1,1,4.940467023327196,1,1,0,0,1,0,0,0,1,1,1,1,1,0,0,0,0,0,0,0,Nenhum,Muito baixo,47.835864000613654,2,MÉDIO
5,SP,11-12 anos,Feminino,C,1,5.643169080745512,0,0,0,0,0,0,1,0,1,1,0,1,1,1,0,0,0,0,0,0,Nenhum,Alto,49.971641787008906,0,MÉDIO
6,SP,9-10 anos,Masculino,D/E,1,5.233016104951742,1,0,0,0,0,0,0,0,1,1,1,1,0,0,1,0,0,0,0,1,Nenhum,Médio,49.69139114499602,1,MÉDIO
7,SP,15-16 anos,Feminino,C,1,5.759399354834225,1,0,0,0,1,0,0,1,1,1,0,1,1,1,0,1,0,0,0,0,Nenhum,Médio,59.36898995042362,1,MÉDIO
8,PA,13-14 anos,Feminino,B2,1,4.377065610201597,0,0,0,0,1,0,0,0,1,0,0,1,1,1,0,0,0,0,0,0,Nenhum,Alto,0.0,0,MÉDIO
9,PR,15-16 anos,Masculino,C,1,5.1172178347435855,1,1,0,0,0,0,1,0,0,1,1,1,1,1,1,0,1,1,0,0,Nenhum,Médio,76.39992680271159,2,MÉDIO
10,CE,15-16 anos,Masculino,D/E,1,2.544342867886016,0,0,0,0,0,1,0,0,1,0,0,0,1,0,1,0,0,0,0,0,Malware,Alto,0.0,1,MÉDIO
